                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                  1.247,                 1.1045,                 1.4218,                0.56476,                0.59937,                0.57638,                0.31446,                 1.5686,                 1.3182,                 1.5941,             0.00061554,             0.00061554,             0.00061554
                    118,                 1.2411,                 1.0866,                 1.4139,                0.56131,                0.57967,                0.55668,                0.30221,                 1.5525,                 1.3794,                 1.5949,             0.00060847,             0.00060847,             0.00060847
                    119,                 1.2514,                 1.1057,                 1.4194,                0.53498,                0.61445,                0.56958,                 0.3177,                 1.5589,                 1.3122,                 1.5982,             0.00060139,             0.00060139,             0.00060139
                    120,                 1.2272,                 1.1053,                 1.4208,                0.56823,                0.52917,                0.54505,                0.29863,                 1.5632,                 1.3812,                 1.5807,             0.00059432,             0.00059432,             0.00059432
                    121,                 1.2247,                  1.069,                 1.3966,                0.54551,                0.61126,                0.59678,                0.32778,                  1.604,                 1.3016,                 1.6208,             0.00058725,             0.00058725,             0.00058725
                    122,                 1.2363,                 1.0815,                 1.4045,                0.53454,                 0.5725,                0.55025,                0.29343,                 1.6224,                 1.3771,                 1.6185,             0.00058017,             0.00058017,             0.00058017
                    123,                 1.2345,                 1.0757,                 1.4076,                 0.5336,                0.54695,                0.50419,                0.25588,                 1.7081,                 1.5026,                 1.7361,              0.0005731,              0.0005731,              0.0005731
                    124,                 1.2145,                 1.0741,                 1.3995,                0.43751,                0.64347,                0.53058,                0.28487,                 1.6329,                 1.5164,                 1.6671,             0.00056603,             0.00056603,             0.00056603
                    125,                 1.2133,                 1.0472,                 1.3891,                 0.5758,                0.55101,                0.56944,                0.29237,                 1.6978,                 1.4276,                 1.7358,             0.00055895,             0.00055895,             0.00055895
                    126,                 1.2118,                 1.0496,                 1.3889,                0.52225,                0.69664,                0.58439,                0.31602,                 1.5766,                 1.2894,                 1.5986,             0.00055188,             0.00055188,             0.00055188
