                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.1441,                 1.1215,                 1.5279,                0.33327,                0.44925,                0.37567,                0.22498,                 1.4771,                  1.445,                 1.8665,               0.000161,               0.000161,               0.000161
                     91,                 1.0497,                0.87332,                 1.4272,                0.34178,                0.47331,                0.39249,                0.23525,                 1.4653,                 1.4258,                 1.8964,             0.00014862,             0.00014862,             0.00014862
                     92,                 1.0069,                0.80465,                    1.4,                0.34279,                0.44798,                0.37885,                0.22685,                 1.5014,                 1.4968,                 1.9069,             0.00013625,             0.00013625,             0.00013625
                     93,                 1.0092,                0.77183,                 1.4048,                0.35961,                0.43786,                0.40317,                0.24192,                 1.5105,                 1.4204,                  1.927,             0.00012387,             0.00012387,             0.00012387
                     94,                0.98704,                0.76774,                 1.3849,                0.33185,                0.50554,                0.40302,                0.24146,                 1.5129,                 1.4558,                 1.9112,              0.0001115,              0.0001115,              0.0001115
                     95,                0.96591,                0.74587,                 1.3623,                  0.376,                0.43914,                0.39939,                0.23627,                 1.5163,                  1.434,                 1.9363,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.95273,                0.73125,                 1.3454,                0.41153,                0.39997,                0.41359,                0.24682,                 1.5118,                 1.4018,                  1.927,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.95262,                0.73268,                 1.3473,                0.37578,                0.46561,                0.39618,                0.23913,                 1.5128,                 1.4224,                 1.9266,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.94807,                0.71012,                 1.3463,                0.37456,                0.43063,                0.38854,                0.23217,                 1.5325,                 1.4592,                 1.9556,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.93615,                0.68573,                 1.3323,                0.38331,                0.46866,                 0.4085,                0.24728,                 1.5157,                 1.3866,                 1.9331,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.93512,                0.70898,                 1.3355,                 0.3974,                0.42106,                0.40639,                0.24498,                 1.5211,                 1.4285,                  1.944,              3.725e-05,              3.725e-05,              3.725e-05
